MassName,MassMvt,PdfExtract,SharpScore,CleanXml,krn
ThreeVoice,KyrieEleison,x,x,,
ThreeVoice,Gloria,x,x,,
ThreeVoice,Credo,x,x,,
ThreeVoice,Sanctus,x,x,,
ThreeVoice,AgnusDei,x,x,,
FourVoice,KyrieEleison,x,x,,
FourVoice,Gloria,,,,
FourVoice,Credo,x,x,,
FourVoice,Sanctus,,,,
FourVoice,AgnusDei,,,,
FiveVoice,KyrieEleison,x,x,,
FiveVoice,Gloria,,,,
FiveVoice,Credo,x,x,,
FiveVoice,Sanctus,,,,
FiveVoice,AgnusDei,,,,
